name,overview,destination_name
EUROPEAN ARCTIC,"From the windswept coastline of Scotland, alive at this time of the year with seabird colonies nesting, to the Norwegian coastline dotted with historic waterfront towns, huge bird colonies, towering mountains and world famous fjords that will take your breath away. Sitting high above the Arctic Circle, the island archipelago of Svalbard home to lush tundra, Arctic seabirds, walrus, the mighty polar bears, active glaciers and delicate flora; these incredible islands offer sweeping landscapes and an abundance of wildlife. Carved from massive icebergs, Greenland lies halfway between Svalbard and Iceland, she is a land of history and legends, immense fjord systems, rich culture and magnificent scenery.
",The Arctic
Northeast Passage & Wrangle Island,"Russia controls one of the greatest seaways in the world. Whilst in Russia it is known as the Northern Sea Route, the rest of the world usually refer to it as the Northeast Passage. Only a handful of expedition vessels have ever transited this seaway, but recent changes in the summer sea ice conditions mean this historic and fascinating sea route is now accessible to a few suitably constructed expedition vessels. The indigenous peoples of the north coast of Siberia were undoubtedly familiar with sections of this seaway but it wasn't until 1878-1880 that Swedish explorer Adolf Erik Nordenskiold completed the first ever transit. Earlier attempts to find a route in the 16th century had been thwarted by either ice or politics or both. Our epic journey will commence from Murmansk in Russia, following the route east towards Anadyr. Along the way your itinerary may attempt landings at Franz Josef Land, the Severnaya Zemyla archipelago and the High Arctic Russian Nature Reserve on Wrangel Island, as well as many other rarely visited sites.
",The Arctic
Canadian Arctic,"The Canadian Arctic is well known for its diverse wildlife, rich native culture and spectacular scenery. For those seeking the truly remote, an expedition deep within the Arctic Circle offers a taste of pure adventure.

The Canadian Arctic refers to the northernmost reaches of the Yukon, the Northwest Territories and Canada's largest and newest territory, Nunavut. With a relatively small population of around 100,000, residing above the Arctic Circle.

Ellesmere Island National Park covers the northern tip of this remote island, which boasts a landscape of vast untouched wilderness, fjords, glaciers and icecaps, culminating at Cape Columbia, the most northerly point of North America. The stark beauty of the interior's mountainous terrain is truly awe-inspiring.

To the south is the smaller Cornwallis Island, where you will find one of the coldest inhabited places in the world, Resolute. A small Inuit community on the south coast, with a population of just 200.

Immense Baffin Island is Canada's largest island and the fifth largest in the world. Baffin Island's south coast fringes the Hudson Strait, separating the island from Québec. Wildlife can be found throughout the High Arctic, including Arctic fox, polar bear, Arctic wolf, barren-ground caribou and the Arctic hare.
",The Arctic
North Pole,,The Arctic
Scotland,,The Arctic
Norway,,The Arctic
Svalbard,,The Arctic
Greenland - East ,,The Arctic
Greenland - West,,The Arctic
Iceland,,The Arctic
Franz Joseph Land,,The Arctic
Northwest Passage,,The Arctic
Patagonia Fjords,,The Arctic
Alaska,,Antarctica
