ship_name,name,operator_name,currency,overview,start_date,end_date,embark_port,disembark_port,overview_tile,passenger_capacity,physical_rating,includes_flight,destination_name,region_names,gst
Akademic Ioffe,Antarctica Peninsula Adventure,One Ocean Expeditions ,USD,"This Antarctic cruise explores the Antarctic Peninsula over a period of 10 nights/11 days. A classic itinerary for whale watching, seabird viewing, visiting penguin colonies and experiencing zodiac excursions in Antarctica. Camping in Antarctica is included.

This voyage visits many of the classic landing locations along the Antarctica Peninsula such as Paradise Harbour, Neko Harbour and the Errera Channel. Vice conditions permitting, we always attempt a transit of the Lemaire Channel, the gateway to the southern jewels of Petermann Island and Pleneau Island. In the company of our expert guides, we spend our days exploring in small groups, by zodiac boat and on shore, enjoying walks and hikes to scenic locations and visiting busy wildlife colonies. Sea kayaking and overnight camping are also popular activities on this itinerary.",20-Feb-18,2-Mar-18,Ushuaia,Ushuaia,"A classic itinerary for whale watching, seabird viewing, visiting penguin colonies and experiencing zodiac excursions in Antarctica.",96,Soft Adventure,FALSE,Antarctica,"Antarctic Peninsula, South Shetland Islands",0
Akademic Ioffe,Antarctica Peninsula Adventure,One Ocean Expeditions ,USD,"This Antarctic cruise explores the Antarctic Peninsula over a period of 10 nights/11 days. A classic itinerary for whale watching, seabird viewing, visiting penguin colonies and experiencing zodiac excursions in Antarctica. Camping in Antarctica is included.

This voyage visits many of the classic landing locations along the Antarctica Peninsula such as Paradise Harbour, Neko Harbour and the Errera Channel. Vice conditions permitting, we always attempt a transit of the Lemaire Channel, the gateway to the southern jewels of Petermann Island and Pleneau Island. In the company of our expert guides, we spend our days exploring in small groups, by zodiac boat and on shore, enjoying walks and hikes to scenic locations and visiting busy wildlife colonies. Sea kayaking and overnight camping are also popular activities on this itinerary.",2-Mar-18,12-Mar-18,Ushuaia,Ushuaia,"A classic itinerary for whale watching, seabird viewing, visiting penguin colonies and experiencing zodiac excursions in Antarctica.",96,Soft Adventure,FALSE,Antarctica,"Antarctic Peninsula, South Shetland Islands",0
Akademic Ioffe,Antarctica Peninsula Adventure,One Ocean Expeditions ,USD,"This Antarctic cruise explores the Antarctic Peninsula over a period of 10 nights/11 days. A classic itinerary for whale watching, seabird viewing, visiting penguin colonies and experiencing zodiac excursions in Antarctica. Camping in Antarctica is included.

This voyage visits many of the classic landing locations along the Antarctica Peninsula such as Paradise Harbour, Neko Harbour and the Errera Channel. Vice conditions permitting, we always attempt a transit of the Lemaire Channel, the gateway to the southern jewels of Petermann Island and Pleneau Island. In the company of our expert guides, we spend our days exploring in small groups, by zodiac boat and on shore, enjoying walks and hikes to scenic locations and visiting busy wildlife colonies. Sea kayaking and overnight camping are also popular activities on this itinerary.",22-Mar-18,1-Apr-18,Ushuaia,Ushuaia,"A classic itinerary for whale watching, seabird viewing, visiting penguin colonies and experiencing zodiac excursions in Antarctica.",96,Soft Adventure,FALSE,Antarctica,"Antarctic Peninsula, South Shetland Islands",0
Akademic Ioffe,Epic Antarctica 3 ,One Ocean Expeditions ,USD,"This exciting new expedition has been many years in the making. It is undoubtedly the most comprehensive journey to Antarctica ever offered.

This unique experience links two existing voyages to create one ‘super adventure’. Over the course of three weeks, we spend an unprecedented 16 days exploring the Antarctic Peninsula, South Shetland Islands, the spectacular, icy Weddell Sea region and the wildlife-rich Falkland Islands.",13-Jan-18,3-Feb-18,Punta Arenas,Punta Areas ,"A voyage of unprecedented experiences, with 16 days explore the Antarctic Peninsula, 
South Shetland Is, Weddell Sea and the Falkland Is",96,Soft Adventure,TRUE,Antarctica,"Antarctic Peninsula, South Shetland Islands, Antarctic Circle, Weddell Sea, Falkland Islands",0
Akademic Shokalskiy,East Antarctica: In the Wake of Mawson,Heritage Expeditions,USD,"Sir Douglas Mawson is arguably the grandfather of Antarctic science. The Australian Antarctic Expedition 1911-1914 is notable for its achievements and sadly its tragedies. 

Encouraged by the success of Shackleton’s 1908-09 Nimrod expedition, of which he was a member, Douglas Mawson planned his own expedition to explore the Antarctic coastline directly south of Australia. The Australasian Antarctic Expedition sailed from Hobart on 2 December 1911, making a brief stop at Macquarie Island to establish a radio base and then making landfall at Cape Denison in Commonwealth Bay. Unbeknownst to Mawson and his men, they had discovered the windiest place on the planet – renowned as the ‘home of the blizzard’. Tragedy struck the expedition when Ninnis and Mertz, the other two members of Mawson’s three-man Far Eastern Sledging Party, died. Mawson returned to base blinded by snow and having cheated death on more than one occasion. He made it back so late in the season that he had to overwinter in Antarctica as his relief ship had sailed. 

Mawson’s Hut at Cape Denison still stands; protected against the extreme weather for which the region is renowned. Cape Denison has historically been one of the very few ice free and readily accessible areas along the East Antarctic coastline. However when the Mertz Glacier tongue broke off in 2010 it blocked the annual movement of sea ice preventing any shipping and effectively isolating the area, we have been monitoring conditions in this region since and now see opportunities to return and explore this majestic, remote coastline.",08-Jan-18,02-Feb-18,Invercargill,Invercargill,Voyage to the remote and infrequently visited Commonwealth Bay in East Antarctica.  This is also the site of the historic hut of early Australian Antarctic explorer Douglas Mawson at Cape Denison.  Enroute this expedition visits New Zealand and Australia's Subantarct.,48,Expedition,FALSE,Antarctica,"Sub-Antarctic Islands, Commonwealth Bay",0
Akademic Shokalskiy,Ross Sea: In the Wake of Scott & Shackleton,Heritage Expeditions,USD,"The Ross Sea region of Antarctica is one of the most remote places on Planet Earth and one of the most fascinating places in the continent’s human history. With shipping restricted by impenetrable pack ice to just two brief months each austral summer, few people have ever visited this strange and beautiful territory, with opportunities for non-scientific personnel limited to a handful of tourist expedition ships. Heritage Expeditions offers such a voyage on its own fully equipped and ice-strengthened ship, crewed by some of the most experienced officers and sailors in the world and staffed by some of the most passionate and knowledgeable Guides. This is a unique opportunity to experience nature on a scale so grand there are no words to describe it.

There is so much to do and so much to see here, from exploring historic huts and sites to visiting penguin rookeries, marvelling at the glacial ice tongues and ice shelves and understanding the icebergs and sea ice. Then there are all the seabirds, seals and whales to observe and photograph, modern scientific bases and field camps to visit and simply the opportunity to spend time drinking in the marvellous landscape that has always enthralled visitors.

Lying like stepping stones to the Antarctic continent are the little known Subantarctic Islands. Our journey includes The Snares, Aucklands, Macquarie and Campbell Island. They break our long journey but more importantly they help prepare us for what lies ahead, for these islands are part of the amazing and dynamic Southern Ocean ecosystem of which Antarctica is at the very heart. It is the power house which drives this ecosystem upon which the world depends.",02-Feb-18,03-Mar-18,Invercargill,Invercargill,"Visit Antarctica's Ross Sea on this 30 day expedition which also includes the New Zealand Subantarctic Islands and Macquarie Island. There is much to see and do, visit penguin rookeries, explore historic huts, visit scientific bases, field camps & Zodiac cruise the ice edge.",48,Expedition,FALSE,Antarctica,"Sub-Antarctic Islands, Ross Sea",0
Akademic Vavilov,South Georgia in Depth,One Ocean Expeditions ,USD,"Travel to South Georgia and visit hundred of thousands of king penguins on this unrivalled itinerary to explore South Georgia and its staggering wildlife. South Georgia hosts the most wildlife per square meter in the world. On this expedition cruise, you can see 100,000 king penguins, fur seals, whales and albatross. Spend seven days in South Georgia, more than ever before to immerse into the 'Serengeti of the Southern Ocean'.",21-Oct-17,4-Nov-17,Punta Arenas,Punta Arenas ,Experience the Serengeti of the Southern Ocean on this extended South Georgia in depth expedition,96,Soft Adventure,TRUE,Antarctica,Falkland Islands South Georgia ,0
Akademic Vavilov,South Georgia in Depth,One Ocean Expeditions ,USD,"Travel to South Georgia and visit hundred of thousands of king penguins on this unrivalled itinerary to explore South Georgia and its staggering wildlife. South Georgia hosts the most wildlife per square meter in the world. On this expedition cruise, you can see 100,000 king penguins, fur seals, whales and albatross. Spend seven days in South Georgia, more than ever before to immerse into the 'Serengeti of the Southern Ocean'.",4-Nov-17,18-Nov-17,Punta Arenas,Punta Arenas ,Experience the Serengeti of the Southern Ocean on this extended South Georgia in depth expedition,96,Soft Adventure,TRUE,Antarctica,Falkland Islands South Georgia ,0
Akademic Vavilov,Antarctic Peninsula Explorer,One Ocean Expeditions ,USD,"This new itinerary encompasses two additional days of exploration in Antarctica – without adding to the total length of the voyage. This equals more time on shore, more time in the zodiacs and more time spent in the company of our expert guides for your ultimate wildlife tour.

While travelling along the shorelines of Antarctica, We visit many of the classic landing locations along the Antarctica Peninsula such as Paradise Harbour, Neko Harbour and the Errera Channel. In the company of our expert guides, we spend our days exploring in small groups, by zodiac boat and on shore, enjoying walks and hikes to scenic locations and visiting busy wildlife colonies. Sea kayaking and overnight camping are also popular activities on this itinerary.",4-Dec-17,14-Dec-17,Ushuaia,Punta Arenas ,"This adventure cruise sails along the hotspots of the Antarctic Peninsula. A new itinerary encompasses two additional days exploring the peninsula for whale watching, visiting penguin colonies and zodiac excursions in Antarctica.",96,Soft Adventure,TRUE,Antarctica,"Antarctic Peninsula, South Shetland Islands",0
Akademic Vavilov,"Christmas in Antarctica, South Georgia & Falkland Is",One Ocean Expeditions ,USD,"December is a beautiful time to experience Antarctica. We enjoy extended daylight hours at this time of the season, the wildlife colonies are busy and as the sea ice continues to break up. The perfect destination to celebrate 'white christmas'.

We fly from South America to Antarctica in a little over two hours where we board our ship and enjoy a thorough exploration of the glaciated coastline of the Antarctic Peninsula. In the height of the Antarctic summer, our range of landing sites expands even further.",14-Dec-17,30-Dec-17,Punta Arenas,Punta Arenas ,"There is no better way to spoil yourself this Christmas, than with a voyage to Antarctica,
South Georgia and the Falkland Islands. Great family options available, please ask. ",96,Soft Adventure,TRUE,Antarctica,"Antarctic Peninsula, South Shetland Islands, Falkland Islands, South Georgia ",0
Akademic Vavilov,Quest for the Antarctic Circle,One Ocean Expeditions ,USD,"Utilizing our decades of experience, we have designed a new voyage allowing us to reach our objective of the Antarctic Circle in just 11 days. On the way south, we enjoy eight days of off-ship exploration visiting a large number of landing sites and cruising among the ice floes in our Zodiac boats, before reaching the Antarctic Circle in the vicinity of Detaille Island.",30-Dec-17,9-Jan-18,Punta Arenas,Punta Arenas ,An 11 day expedition exploring the Antarctic Circle and allowing 8 days of true Antarctic experiences,96,Soft Adventure,TRUE,Antarctica,"Antarctic Peninsula, South Shetland Islands, Antarctic Circle",0
Akademic Vavilov,Quest for the Antarctic Circle,One Ocean Expeditions ,USD,"Utilizing our decades of experience, we have designed a new voyage allowing us to reach our objective of the Antarctic Circle in just 11 days. On the way south, we enjoy eight days of off-ship exploration visiting a large number of landing sites and cruising among the ice floes in our Zodiac boats, before reaching the Antarctic Circle in the vicinity of Detaille Island.",20-Jan-18,30-Jan-18,Punta Arenas,Punta Arenas ,An 11 day expedition exploring the Antarctic Circle and allowing 8 days of true Antarctic experiences,96,Soft Adventure,TRUE,Antarctica,"Antarctic Peninsula, South Shetland Islands, Antarctic Circle",0
Akademic Vavilov,Ultimate Antarctica; Peninsula and Weddell Sea,One Ocean Expeditions ,USD,"This exciting expedition provides great diversity and will appeal to those seeking a truly comprehensive Antarctic experience. It includes visits to the South Shetland Islands, the western and northern sections of the Antarctic Peninsula, the stunning Weddell Sea region, and the historic location of Elephant Island – a place forever connected to the epic story of Sir Ernest Shackleton. Adding to the experience will be a visit to several locations in the Falkland Islands, including the homes of nesting albatross and the colorful King penguin. Throughout the voyage, our expedition ship acts as a floating wilderness lodge, which we reposition every day to yet another exciting location. You will be spoiled for choice by all of the activities we have planned.",9-Jan-18,20-Jan-18,Punta Arenas,Punta Arenas ,"Exploring both coastlines of the Antarctic Peninsula, this voyages delivers a diverse program, which 
incorporates the South Shetland Is, the Weddell Sea, Elephant Is and of couse the Antarctic Peninsula",96,Soft Adventure,TRUE,Antarctica,"Antarctic Peninsula, South Shetland Islands, Weddell Sea",0
Akademic Vavilov,Ultimate Antarctica; Peninsula and Weddell Sea (reverse),One Ocean Expeditions ,USD,"This exciting expedition provides great diversity and will appeal to those seeking a truly comprehensive Antarctic experience. It includes visits to the South Shetland Islands, the western and northern sections of the Antarctic Peninsula, the stunning Weddell Sea region, and the historic location of Elephant Island – a place forever connected to the epic story of Sir Ernest Shackleton. Adding to the experience will be a visit to several locations in the Falkland Islands, including the homes of nesting albatross and the colorful King penguin. Throughout the voyage, our expedition ship acts as a floating wilderness lodge, which we reposition every day to yet another exciting location. You will be spoiled for choice by all of the activities we have planned.",30-Jan-18,10-Feb-18,Punta Arenas,Punta Arenas ,"Exploring both coastlines of the Antarctic Peninsula, this voyages delivers a diverse program, which 
incorporates the South Shetland Is, the Weddell Sea, Elephant Is and of couse the Antarctic Peninsula",96,Soft Adventure,TRUE,Antarctica,"Antarctic Peninsula, South Shetland Islands, Weddell Sea",0
Akademic Vavilov,Antarctica - Deep South (extended Circle voyge),One Ocean Expeditions ,USD,"This special journey takes you further south than at any other time in the season.

By flying to King George Island in Antarctica at the start of the voyage, we save two days on the ocean crossing. The time we save by flying south, allows for a more substantial exploration below the Antarctic Circle. Here we witness stunning landscapes, sizable Adelie penguin rookeries and large flat-topped tabular icebergs that drift north from the Bellingshausen Sea. We always anticipate exciting ice navigation when we push this far south.",20-Feb-18,3-Mar-18,Punta Arenas,Punta Arenas ,A voyage to take you below the Antarctic Circle and further south than any other,96,Soft Adventure,TRUE,Antarctica,"Antarctic Peninsula, South Shetland Islands, Antarctic Circle",0
Akademic Vavilov,Antarctic Peninsula Adventure,One Ocean Expeditions ,USD,"This Antarctic cruise explores the Antarctic Peninsula over a period of 10 nights/11 days. A classic itinerary for whale watching, seabird viewing, visiting penguin colonies and experiencing zodiac excursions in Antarctica. Camping in Antarctica is included.

This voyage visits many of the classic landing locations along the Antarctica Peninsula such as Paradise Harbour, Neko Harbour and the Errera Channel. Vice conditions permitting, we always attempt a transit of the Lemaire Channel, the gateway to the southern jewels of Petermann Island and Pleneau Island. In the company of our expert guides, we spend our days exploring in small groups, by zodiac boat and on shore, enjoying walks and hikes to scenic locations and visiting busy wildlife colonies. Sea kayaking and overnight camping are also popular activities on this itinerary.",3-Mar-18,13-Mar-18,Ushuaia,Ushuaia,"A classic itinerary for whale watching, seabird viewing, visiting penguin colonies and experiencing zodiac excursions in Antarctica.",96,Soft Adventure,FALSE,Antarctica,"Antarctic Peninsula, South Shetland Islands",0
Akademic Vavilov,Antarctic Peninsula - Marine Mammals,One Ocean Expeditions ,USD,"By March, the short Antarctic summer is drawing to a close. Penguin chicks are almost fully-grown and quickly shedding their downy coats in preparation to take to the sea before the long winter. March is a time of great activity in and under the water where we have historically encountered a high concentration of whales, in particular Humpback and Minke. Crabeater, Weddell and Leopard seals also often grace us with their presence, as they rest and store energy that will sustain them over the cold months ahead.",23-Mar-18,2-Apr-18,Ushuaia,Ushuaia,"A perfect voyage for those interested in the mammals of Antarctica, wonderful whale displays
are common over this time and with shorter days the twilight hues are ideal for photographers",96,Soft Adventure,FALSE,Antarctica,"Antarctic Peninsula, South Shetland Islands",0
Akademic Vavilov,Epic Antarctica 1: ,One Ocean Expeditions ,USD,"This exciting new expedition has been many years in the making. It is undoubtedly the most comprehensive journey to Antarctica ever offered.

This unique experience links two existing voyages to create one ‘super adventure’. Over the course of three weeks, we spend an unprecedented 16 days exploring the Antarctic Peninsula, South Shetland Islands, the spectacular, icy Weddell Sea region and the wildlife-rich Falkland Islands.",30-Dec-17,20-Jan-18,Punta Arenas,Punta Arenas ,"A voyage of unprecedented experiences, with 16 days explore the Antarctic Peninsula, 
South Shetland Is, Weddell Sea and the Falkland Is",96,Soft Adventure,TRUE,Antarctica,"Antarctic Peninsula, South Shetland Islands, Antarctic Circle, Weddell Sea, Falkland Islands",0
Akademic Vavilov,Epic Antarctica 2:,One Ocean Expeditions ,USD,"This exciting new expedition has been many years in the making. It is undoubtedly the most comprehensive journey to Antarctica ever offered.

This unique experience links two existing voyages to create one ‘super adventure’. Over the course of three weeks, we spend an unprecedented 16 days exploring the Antarctic Peninsula, South Shetland Islands, the spectacular, icy Weddell Sea region and the wildlife-rich Falkland Islands.",20-Jan-18,10-Feb-18,Punta Arenas,Punta Arenas ,"A voyage of unprecedented experiences, with 16 days explore the Antarctic Peninsula, 
South Shetland Is, Weddell Sea and the Falkland Is",96,Soft Adventure,TRUE,Antarctica,"Antarctic Peninsula, South Shetland Islands, Antarctic Circle, Weddell Sea, Falkland Islands",0
Alk,"Submersible Pilot Programme-
Introduction Pilot Course",Waterproof Expeditions,USD,"The courses are held in Malta, the most historical island of the Mediterranean sea, known for its many deep wrecks.

During the Pilot training course your days are spent on board the explorer yacht ‘Alk’, the support vessel that carries the sub.  The yacht is comfortable and you can use a day cabin with private facilities, for relaxing and storage of your daily luggage.  Lunch, snacks  and (non-alcoholic) drinks are included.

In the morning we pick you up, and in the evening we bring you back to your hotel.  At least one night will be spent on board, when the dive sites explored are too far away to return back to the hotel. 

Depending on the Pilot course you are required to do a pre-theory study at home prior to the course. The course manual and instructions for your theory home study will be mailed to your address after confirmation of the reservation.

Each day of diving will end by an extensive post-dive check to make sure the Submersible is stored in an appropriate way.
Wind and swells will predict the day by day schedule so a measure of flexibility is something all of us must bring along on this exciting programme.",01 Jun 18,30 Aug 2018,Malta,Malta,For anyone fascinated by the deep Ocean and dreaming of a deep sea experience.  No pre-study. Hands-on. Focused on diving.,,Expedition,FALSE,The Arctic,,
Bark Europa,Ocean Sailing,Bark Europa,USD,"This excellent open ocean sailing program sails from the Bay of Montevideo, Uruguay to the Falkland Islands. 

It is a great introductory voyage to sailing in a tall ship and combines perfectly with the subsequent voyage to Antarctica on board the Bark Europa.",01-Nov-17,15-Nov-17,Montevideo,Falkland Islands,An excellent ocean sailing program exploring the Falkland Islands,48,Expedition,FALSE,Antarctica,Falkland Islands,0
Bark Europa,True Southern Ocean Sailing,Bark Europa,USD,"EUROPA sails from Stanley on the Falkland Islands towards South Georgia. During this leg EUROPA can usually take advantage of the prevailing strong (and sometimes stormy) westerly winds making for a good crossing to South Georgia You will be able to experience all the aspects of seaman’s life, including watch keeping, climbing the masts and classic navigation. In sailing the EUROPA, teamwork is the keyword. On board you learn the names of the hundreds of different lines and 30 sails. Everybody will experience the voyage differently; The horizon will sail with the ship day after day, Wandering Albatrosses, dolphins who play in the bow wave, a waxing and waning moon, etcetera.

If you have a bit more time at hand, combine this trip with some extra sailing days and join the ship in Montevideo. As you will not need a flight ticket to the Falklands that is budget proof solution for 18 extra days of sailing and exploring. Three night bed & breakfast on board when in Port Stanley is included in the special combination fare",18-Nov-17,21-Dec-17,Falkland Islands,Ushuaia,The Bark Europa's only South Georgia and Antarctica departure! ,48,Expedition,FALSE,Antarctica,"Antarctic Peninsula, South Shetland Islands, Falkland Islands, South Georgia ",0
Bark Europa,Antarctic Peninsula,Bark Europa,USD,"The expeditions start in Argentina in Ushuaia, the southernmost city in South America, located alongside the Beagle Channel. From here, the ship must cross ‘the Drake Passage’, renowned by sailors the world over. Albatrosses and petrels will accompany the EUROPA on her way to the Antarctic paradise. After passing the Antarctic Convergence Zone, the ship sails between the icebergs to the South Shetland Islands. The wildlife is overwhelming: seals, sea-gulls, cormorants and petrels use the Antarctic summer to raise their young. In the Antarctic waters, the EUROPA will anchor in sheltered bays practically every day. The crew will take groups ashore in the dinghies to see glaciers, mosses and lichens, seals, birds and penguin rookeries. Ashore, visitors will often be welcomed by different kinds of penguins, such as the Gentoo, Chinstrap and Adelie penguins. Our experienced guide will give you information about the flora and fauna and will also tell you where to find bird and sea elephant colonies. The ship will sail further south. We expect the most loyal visitors of the Southern Ocean: enormous Humpback whales; Minke whales and even Orcas or Killer whales may well come close to us, curious to see who ventures into their waters. Ice masses will get bigger closer to the mainland. Steep glaciers, walls of ice with magical shapes and surreal colours will surround the EUROPA.",23-Dec-17,13-Jan-18,Ushuaia,Ushuaia,A unique experience on board the only tall ship undertaking expeditions to Antarctica,48,Expedition,FALSE,Antarctica,"Antarctic Peninsula, South Shetland Islands",0
