voyage_name,voyage_start_date,voyage_end_date,ship_name,operator_name,name,price,single_supplement,description,square_meter,overview
Quest for the Antarctic Circle,13-Jan-18,23-Jan-18,Akademic Ioffe,One Ocean Expeditions,Twin Semi-Private,12695,1.5,"Located on deck 4 these cabins have two lower berths, one of which can be converted to a sofa during the day. These cabins have tall wardrobes with internal shelving for storage, a writing desk, chair, bookshelf, and a window that can be opened. Facilities are semi-private â meaning you share the washroom with the adjacent cabin.",,Twin cabin with semi-private facilities
Quest for the Antarctic Circle,13-Jan-18,23-Jan-18,Akademic Ioffe,One Ocean Expeditions,Twin Private,13695,1.5,"Located on decks 4 and 5 these spacious. Well-appointed cabins feature two lower berths (one which can be converted to a sofa during the day), with private washroom facilities (sink, shower, toilet and bathroom cabinet). There are tall wardrobes with internal shelving for storage, a writing desk, chair, bookshelf, and a window that can be opened.",,Twin cabin with private facilities
Quest for the Antarctic Circle,13-Jan-18,23-Jan-18,Akademic Ioffe,One Ocean Expeditions,Superior Twin,14395,1.5,"Onboard Akademik Ioffe these very large cabins are located on deck 6, and feature two lower berths, a sofa, writing desk and chair, ample storage and private washroom facilities. All cabins have a window that can be opened. These cabins provide great access to the outer observation decks and shipâs bridge.",,Twin cabin with private facilities
Quest for the Antarctic Circle,13-Jan-18,23-Jan-18,Akademic Ioffe,One Ocean Expeditions,Shackleton Suite,15795,2,"Located on decks 4 and 5 these cabins are separated into two spacious rooms, one that is ideal for relaxation with a sofa (convertible to bed), large table, writing desk, chair, ample storage and a large window that can be opened. A separate private bedroom has a double berth with upgraded linen/pillows, night light, private facilities, iPad loaded with region specific material, mini stereo, capsule coffee maker, fully stocked mini bar, iPod alarm clock with audio line.",,Double cabin with private facilities
Quest for the Antarctic Circle,13-Jan-18,23-Jan-18,Akademic Ioffe,One Ocean Expeditions,One Ocean Suite,17395,2,"Located on deck 5 this cabin is separated into two very spacious rooms. A spacious lounge areas is perfect for relaxation and features a sofa (convertible to bed), large table, writing desk, ample storage, plus large pictures windows overlooking the bow (forward facing) that can be opened. The separate bedroom features a double bed with upgraded linen/ pillows, night light, and windows over the port side of the ship. The bathroom has a bathtub and shower. There is also a region specific iPad, mini stereo, capsule coffee maker, fully stocked mini bar, iPod alarm clock with audio line and several arms chairs.",,"Suite with double bed, private facilities and a host of luxuries"
Ultimate Antarctica- Peninsula & Weddell Sea,23-Jan-18,3-Feb-18,Akademic Ioffe,One Ocean Expeditions,Triple,11495,,"Located on deck 3 these cabins feature two lower berths and one upper berth. One lower berth can be converted to a comfortable sofa during the day. Washroom facilities are shared. There is a washbasin in the cabin, a writing desk and chair and ample storage for all cabin occupants. These cabins are efficient and well-appointed with two portholes with the option to open one. One triple cabin is reserved for female guests, the other is for male guests. Triple cabins can also be booked by groups of three travelling together.",,Triple berth cabin with shared facilities
Ultimate Antarctica- Peninsula & Weddell Sea,23-Jan-18,3-Feb-18,Akademic Ioffe,One Ocean Expeditions,Twin Semi-Private,13695,1.5,"Located on deck 4 these cabins have two lower berths, one of which can be converted to a sofa during the day. These cabins have tall wardrobes with internal shelving for storage, a writing desk, chair, bookshelf, and a window that can be opened. Facilities are semi-private â meaning you share the washroom with the adjacent cabin.",,Twin cabin with semi-private facilities
Ultimate Antarctica- Peninsula & Weddell Sea,23-Jan-18,3-Feb-18,Akademic Ioffe,One Ocean Expeditions,Twin Private,15295,1.5,"Located on decks 4 and 5 these spacious. Well-appointed cabins feature two lower berths (one which can be converted to a sofa during the day), with private washroom facilities (sink, shower, toilet and bathroom cabinet). There are tall wardrobes with internal shelving for storage, a writing desk, chair, bookshelf, and a window that can be opened.",,Twin cabin with private facilities
Ultimate Antarctica- Peninsula & Weddell Sea,23-Jan-18,3-Feb-18,Akademic Ioffe,One Ocean Expeditions,Superior Twin,16195,1.5,"Onboard Akademik Ioffe these very large cabins are located on deck 6, and feature two lower berths, a sofa, writing desk and chair, ample storage and private washroom facilities. All cabins have a window that can be opened. These cabins provide great access to the outer observation decks and shipâs bridge.",,Twin cabin with private facilities
Ultimate Antarctica- Peninsula & Weddell Sea,23-Jan-18,3-Feb-18,Akademic Ioffe,One Ocean Expeditions,Shackleton Suite,17895,2,"Located on decks 4 and 5 these cabins are separated into two spacious rooms, one that is ideal for relaxation with a sofa (convertible to bed), large table, writing desk, chair, ample storage and a large window that can be opened. A separate private bedroom has a double berth with upgraded linen/pillows, night light, private facilities, iPad loaded with region specific material, mini stereo, capsule coffee maker, fully stocked mini bar, iPod alarm clock with audio line.",,Double cabin with private facilities
Ultimate Antarctica- Peninsula & Weddell Sea,23-Jan-18,3-Feb-18,Akademic Ioffe,One Ocean Expeditions,One Ocean Suite,19495,2,"Located on deck 5 this cabin is separated into two very spacious rooms. A spacious lounge areas is perfect for relaxation and features a sofa (convertible to bed), large table, writing desk, ample storage, plus large pictures windows overlooking the bow (forward facing) that can be opened. The separate bedroom features a double bed with upgraded linen/ pillows, night light, and windows over the port side of the ship. The bathroom has a bathtub and shower. There is also a region specific iPad, mini stereo, capsule coffee maker, fully stocked mini bar, iPod alarm clock with audio line and several arms chairs.",,"Suite with double bed, private facilities and a host of luxuries"
"Falkland Islands, South Georgia & Antarctica",3-Feb-18,20-Feb-18,Akademic Ioffe,One Ocean Expeditions,Triple,16395,,"Located on deck 3 these cabins feature two lower berths and one upper berth. One lower berth can be converted to a comfortable sofa during the day. Washroom facilities are shared. There is a washbasin in the cabin, a writing desk and chair and ample storage for all cabin occupants. These cabins are efficient and well-appointed with two portholes with the option to open one. One triple cabin is reserved for female guests, the other is for male guests. Triple cabins can also be booked by groups of three travelling together.",,Triple berth cabin with shared facilities
"Falkland Islands, South Georgia & Antarctica",3-Feb-18,20-Feb-18,Akademic Ioffe,One Ocean Expeditions,Twin Semi-Private,19395,1.5,"Located on deck 4 these cabins have two lower berths, one of which can be converted to a sofa during the day. These cabins have tall wardrobes with internal shelving for storage, a writing desk, chair, bookshelf, and a window that can be opened. Facilities are semi-private â meaning you share the washroom with the adjacent cabin.",,Twin cabin with semi-private facilities
"Falkland Islands, South Georgia & Antarctica",3-Feb-18,20-Feb-18,Akademic Ioffe,One Ocean Expeditions,Twin Private,21295,1.5,"Located on decks 4 and 5 these spacious. Well-appointed cabins feature two lower berths (one which can be converted to a sofa during the day), with private washroom facilities (sink, shower, toilet and bathroom cabinet). There are tall wardrobes with internal shelving for storage, a writing desk, chair, bookshelf, and a window that can be opened.",,Twin cabin with private facilities
"Falkland Islands, South Georgia & Antarctica",3-Feb-18,20-Feb-18,Akademic Ioffe,One Ocean Expeditions,Superior Twin,22495,1.5,"Onboard Akademik Ioffe these very large cabins are located on deck 6, and feature two lower berths, a sofa, writing desk and chair, ample storage and private washroom facilities. All cabins have a window that can be opened. These cabins provide great access to the outer observation decks and shipâs bridge.",,Twin cabin with private facilities
"Falkland Islands, South Georgia & Antarctica",3-Feb-18,20-Feb-18,Akademic Ioffe,One Ocean Expeditions,Shackleton Suite,23995,2,"Located on decks 4 and 5 these cabins are separated into two spacious rooms, one that is ideal for relaxation with a sofa (convertible to bed), large table, writing desk, chair, ample storage and a large window that can be opened. A separate private bedroom has a double berth with upgraded linen/pillows, night light, private facilities, iPad loaded with region specific material, mini stereo, capsule coffee maker, fully stocked mini bar, iPod alarm clock with audio line.",,Double cabin with private facilities
