voyage_name,voyage_start_date,voyage_end_date,ship_name,operator_name,name,overview,day_number
"Falkland Is, South Georgia & Antarctica (20 Days)",18-Oct-17,6-Nov-17,Akademic Ioffe,One Ocean Expeditions ,Scotia Sea Crossing,"After several busy days our exploration of South Georgia is complete and our attention now turns south, towards Antarctica. It takes several days to cross the Scotia Sea in the comfort of our modern expedition ship. Large tabular icebergs announce our arrival in Antarctic waters. The dark cliffs of Elephant Island appear and it is this location that ‘bookends’ the Shackleton story for many. Here Shackleton and his men were camped for many months, having lost HMS Endurance in the thick sea ice, far to the south in the Weddell Sea in 1915. If conditions allow we attempt a landing here.",11
"Falkland Is, South Georgia & Antarctica (20 Days)",18-Oct-17,6-Nov-17,Akademic Ioffe,One Ocean Expeditions ,Scotia Sea Crossing,"After several busy days our exploration of South Georgia is complete and our attention now turns south, towards Antarctica. It takes several days to cross the Scotia Sea in the comfort of our modern expedition ship. Large tabular icebergs announce our arrival in Antarctic waters. The dark cliffs of Elephant Island appear and it is this location that ‘bookends’ the Shackleton story for many. Here Shackleton and his men were camped for many months, having lost HMS Endurance in the thick sea ice, far to the south in the Weddell Sea in 1915. If conditions allow we attempt a landing here.",12
"Falkland Is, South Georgia & Antarctica (20 Days)",18-Oct-17,6-Nov-17,Akademic Ioffe,One Ocean Expeditions ,Scotia Sea Crossing,"After several busy days our exploration of South Georgia is complete and our attention now turns south, towards Antarctica. It takes several days to cross the Scotia Sea in the comfort of our modern expedition ship. Large tabular icebergs announce our arrival in Antarctic waters. The dark cliffs of Elephant Island appear and it is this location that ‘bookends’ the Shackleton story for many. Here Shackleton and his men were camped for many months, having lost HMS Endurance in the thick sea ice, far to the south in the Weddell Sea in 1915. If conditions allow we attempt a landing here.",13
"Falkland Is, South Georgia & Antarctica (20 Days)",18-Oct-17,6-Nov-17,Akademic Ioffe,One Ocean Expeditions ,South Shetland Islands & Antarctica,"Around 60 miles off the coast of the Antarctic mainland lies the South Shetland Island chain. Possible landing sites might include King George Island, Half Moon Island, Yankee Harbour or Hannah Point. Weather conditions permitting we sail the ship into the flooded volcanic caldera of Deception Island. After so much anticipation, we enter the icy waters of the Antarctic Peninsula in the vicinity of Mikkelson Harbour or Cierva Cove. Snow covered mountains soar from the dark waters. Along the shoreline in the bays and harbors of the peninsula live an incredible abundance of wildlife. We explore by Zodiac boat and ashore where a range of wonderful activities awaits. Locations we hope to visit include Wilhelmina Bay, Orne Harbour, Cuverville Island and the Errera Channel. Join the photographic guide and take close up photos of the penguins, or of the impossibly blue ice. Or enjoy a hike to the top of a snowy mountain saddle with one of our adventure guides. If the opportunity presents itself, visit a science base or old historic hut. Each, you have a range of great choices.",14
"Falkland Is, South Georgia & Antarctica (20 Days)",18-Oct-17,6-Nov-17,Akademic Ioffe,One Ocean Expeditions ,South Shetland Islands & Antarctica,"Around 60 miles off the coast of the Antarctic mainland lies the South Shetland Island chain. Possible landing sites might include King George Island, Half Moon Island, Yankee Harbour or Hannah Point. Weather conditions permitting we sail the ship into the flooded volcanic caldera of Deception Island. After so much anticipation, we enter the icy waters of the Antarctic Peninsula in the vicinity of Mikkelson Harbour or Cierva Cove. Snow covered mountains soar from the dark waters. Along the shoreline in the bays and harbors of the peninsula live an incredible abundance of wildlife. We explore by Zodiac boat and ashore where a range of wonderful activities awaits. Locations we hope to visit include Wilhelmina Bay, Orne Harbour, Cuverville Island and the Errera Channel. Join the photographic guide and take close up photos of the penguins, or of the impossibly blue ice. Or enjoy a hike to the top of a snowy mountain saddle with one of our adventure guides. If the opportunity presents itself, visit a science base or old historic hut. Each, you have a range of great choices.",15
"Falkland Is, South Georgia & Antarctica (20 Days)",18-Oct-17,6-Nov-17,Akademic Ioffe,One Ocean Expeditions ,South Shetland Islands & Antarctica,"Around 60 miles off the coast of the Antarctic mainland lies the South Shetland Island chain. Possible landing sites might include King George Island, Half Moon Island, Yankee Harbour or Hannah Point. Weather conditions permitting we sail the ship into the flooded volcanic caldera of Deception Island. After so much anticipation, we enter the icy waters of the Antarctic Peninsula in the vicinity of Mikkelson Harbour or Cierva Cove. Snow covered mountains soar from the dark waters. Along the shoreline in the bays and harbors of the peninsula live an incredible abundance of wildlife. We explore by Zodiac boat and ashore where a range of wonderful activities awaits. Locations we hope to visit include Wilhelmina Bay, Orne Harbour, Cuverville Island and the Errera Channel. Join the photographic guide and take close up photos of the penguins, or of the impossibly blue ice. Or enjoy a hike to the top of a snowy mountain saddle with one of our adventure guides. If the opportunity presents itself, visit a science base or old historic hut. Each, you have a range of great choices.",16
"Falkland Is, South Georgia & Antarctica (20 Days)",18-Oct-17,6-Nov-17,Akademic Ioffe,One Ocean Expeditions ,South Shetland Islands & Antarctica,"Around 60 miles off the coast of the Antarctic mainland lies the South Shetland Island chain. Possible landing sites might include King George Island, Half Moon Island, Yankee Harbour or Hannah Point. Weather conditions permitting we sail the ship into the flooded volcanic caldera of Deception Island. After so much anticipation, we enter the icy waters of the Antarctic Peninsula in the vicinity of Mikkelson Harbour or Cierva Cove. Snow covered mountains soar from the dark waters. Along the shoreline in the bays and harbors of the peninsula live an incredible abundance of wildlife. We explore by Zodiac boat and ashore where a range of wonderful activities awaits. Locations we hope to visit include Wilhelmina Bay, Orne Harbour, Cuverville Island and the Errera Channel. Join the photographic guide and take close up photos of the penguins, or of the impossibly blue ice. Or enjoy a hike to the top of a snowy mountain saddle with one of our adventure guides. If the opportunity presents itself, visit a science base or old historic hut. Each, you have a range of great choices.",17
"Falkland Is, South Georgia & Antarctica (20 Days)",18-Oct-17,6-Nov-17,Akademic Ioffe,One Ocean Expeditions ,Drake Passage,"After several busy days of exploration along the Antarctic Peninsula, it’s time to return to South America. The educational presentations continue and we enjoy an entertaining and memorable voyage recap by our Expedition Leader. If conditions allow we hope to make a rounding of the fabled landmark of Cape Horn.",18
"Falkland Is, South Georgia & Antarctica (20 Days)",18-Oct-17,6-Nov-17,Akademic Ioffe,One Ocean Expeditions ,Drake Passage,"After several busy days of exploration along the Antarctic Peninsula, it’s time to return to South America. The educational presentations continue and we enjoy an entertaining and memorable voyage recap by our Expedition Leader. If conditions allow we hope to make a rounding of the fabled landmark of Cape Horn.",19
"Falkland Is, South Georgia & Antarctica (20 Days)",18-Oct-17,6-Nov-17,Akademic Ioffe,One Ocean Expeditions ,Ushuaia; Disembarkation,"In the early morning, we arrive into Ushuaia. Guests will be transported to their hotels or to the airport for return flights home. *Note: on a 20-day voyage, you will spend an additional day along South Georgia.",20
"Falkland Is, South Georgia & Antarctica (19 Days)",30-Nov-17,18-Dec-17,Akademic Ioffe,One Ocean Expeditions ,Ushuaia; Embarkation Day,"Our exploration of the Falklands, South Georgia and Antarctica commences in Ushuaia. Excitement is in the air as we board the ship, enjoy a welcome cocktail and dinner and cast off for the adventure of a lifetime.

On this voyage, our days are spent exploring on shore in the company of expert guides – including naturalists, marine biologists, ornithologists and adventurers as well as our resident photography professional. Cruising in our inflatable Zodiac boats is another memorable activity. For the adventurers, we provide plenty of opportunities to explore on long hikes ashore, or by sea kayak.",1
"Falkland Is, South Georgia & Antarctica (19 Days)",30-Nov-17,18-Dec-17,Akademic Ioffe,One Ocean Expeditions ,At Sea,"Sailing northeast towards the Falkland Islands we are joined by hundreds of seabirds including the wandering albatross. Throughout the day our onboard experts educate us with a series of presentations about the environment, wildlife and history of the Southern Ocean and the locations we plan to visit.",2
"Falkland Is, South Georgia & Antarctica (19 Days)",30-Nov-17,18-Dec-17,Akademic Ioffe,One Ocean Expeditions ,Falkland Islands,"Having arrived in the Falkland’s overnight, we plan to explore several locations in the West Falkland archipelago. These remote islands are home to a proliferation of seabirds and migratory birds including the stunning black-browed albatross. We see our first penguins of the trip on these islands, which could include West Point with its bustling rookeries of rockhoppers. On Carcass Island, we observe nesting Magellanic penguins as well as oystercatchers, geese and the striated caracara – a bird of prey. The following morning we arrive in Stanley, the capital of the Falklands Islands. Wandering through the quiet streets we learn how Stanley was a major port in the 19th century for the tall clipper ships rounding Cape Horn.",3
"Falkland Is, South Georgia & Antarctica (19 Days)",30-Nov-17,18-Dec-17,Akademic Ioffe,One Ocean Expeditions ,Falkland Islands,"Having arrived in the Falkland’s overnight, we plan to explore several locations in the West Falkland archipelago. These remote islands are home to a proliferation of seabirds and migratory birds including the stunning black-browed albatross. We see our first penguins of the trip on these islands, which could include West Point with its bustling rookeries of rockhoppers. On Carcass Island, we observe nesting Magellanic penguins as well as oystercatchers, geese and the striated caracara – a bird of prey. The following morning we arrive in Stanley, the capital of the Falklands Islands. Wandering through the quiet streets we learn how Stanley was a major port in the 19th century for the tall clipper ships rounding Cape Horn.",4
"Falkland Is, South Georgia & Antarctica (19 Days)",30-Nov-17,18-Dec-17,Akademic Ioffe,One Ocean Expeditions ,At Sea,We chart a south-easterly course bound for South Georgia. The seabirds once again join us in the Southern Ocean. Our educational presentations continue. History is a key theme of this voyage and the epic story of Sir Earnest Shackleton and the HMS Endurance expeditions is central to any trip to South Georgia.,5
"Falkland Is, South Georgia & Antarctica (19 Days)",30-Nov-17,18-Dec-17,Akademic Ioffe,One Ocean Expeditions ,At Sea,We chart a south-easterly course bound for South Georgia. The seabirds once again join us in the Southern Ocean. Our educational presentations continue. History is a key theme of this voyage and the epic story of Sir Earnest Shackleton and the HMS Endurance expeditions is central to any trip to South Georgia.,6
"Falkland Is, South Georgia & Antarctica (19 Days)",30-Nov-17,18-Dec-17,Akademic Ioffe,One Ocean Expeditions ,South Georgia ,"The island of South Georgia has often been called the ‘Serengeti of the Southern Ocean’ – and as we approach the deep bays of this rugged, rocky outcrop you begin to see why. Launching the Zodiacs we begin our exploration of the island in the vicinity of Elsehul Bay. Large numbers of fur seals and the much larger elephant seal line the beaches. Living in the tussock grass, king penguins and their chicks may number up to 100,000 birds in some locations, including Salisbury Plains, St Andrews Bay and Gold Harbor. The island is also home to large numbers of nesting albatross and they fill the skies above. South Georgia is a thrilling location for history buffs as the rusting relics of the early whaling industry are all around us. A highlight is a visit to Grytviken – the largest of the former whaling stations on the island, and where we visit the gravesite of Shackleton, buried here in 1921. For many, being in the presence of the great explorer is a highlight of the trip. There’s an excellent museum at Grytviken, maintained by the South Georgia Heritage Trust and the restored church, built by the original Norwegian whalers, is another highlight.",7
"Falkland Is, South Georgia & Antarctica (19 Days)",30-Nov-17,18-Dec-17,Akademic Ioffe,One Ocean Expeditions ,South Georgia ,"The island of South Georgia has often been called the ‘Serengeti of the Southern Ocean’ – and as we approach the deep bays of this rugged, rocky outcrop you begin to see why. Launching the Zodiacs we begin our exploration of the island in the vicinity of Elsehul Bay. Large numbers of fur seals and the much larger elephant seal line the beaches. Living in the tussock grass, king penguins and their chicks may number up to 100,000 birds in some locations, including Salisbury Plains, St Andrews Bay and Gold Harbor. The island is also home to large numbers of nesting albatross and they fill the skies above. South Georgia is a thrilling location for history buffs as the rusting relics of the early whaling industry are all around us. A highlight is a visit to Grytviken – the largest of the former whaling stations on the island, and where we visit the gravesite of Shackleton, buried here in 1921. For many, being in the presence of the great explorer is a highlight of the trip. There’s an excellent museum at Grytviken, maintained by the South Georgia Heritage Trust and the restored church, built by the original Norwegian whalers, is another highlight.",8
"Falkland Is, South Georgia & Antarctica (19 Days)",30-Nov-17,18-Dec-17,Akademic Ioffe,One Ocean Expeditions ,South Georgia ,"The island of South Georgia has often been called the ‘Serengeti of the Southern Ocean’ – and as we approach the deep bays of this rugged, rocky outcrop you begin to see why. Launching the Zodiacs we begin our exploration of the island in the vicinity of Elsehul Bay. Large numbers of fur seals and the much larger elephant seal line the beaches. Living in the tussock grass, king penguins and their chicks may number up to 100,000 birds in some locations, including Salisbury Plains, St Andrews Bay and Gold Harbor. The island is also home to large numbers of nesting albatross and they fill the skies above. South Georgia is a thrilling location for history buffs as the rusting relics of the early whaling industry are all around us. A highlight is a visit to Grytviken – the largest of the former whaling stations on the island, and where we visit the gravesite of Shackleton, buried here in 1921. For many, being in the presence of the great explorer is a highlight of the trip. There’s an excellent museum at Grytviken, maintained by the South Georgia Heritage Trust and the restored church, built by the original Norwegian whalers, is another highlight.",9
"Falkland Is, South Georgia & Antarctica (19 Days)",30-Nov-17,18-Dec-17,Akademic Ioffe,One Ocean Expeditions ,Scotia Sea Crossing,"After several busy days our exploration of South Georgia is complete and our attention now turns south, towards Antarctica. It takes several days to cross the Scotia Sea in the comfort of our modern expedition ship. Large tabular icebergs announce our arrival in Antarctic waters. The dark cliffs of Elephant Island appear and it is this location that ‘bookends’ the Shackleton story for many. Here Shackleton and his men were camped for many months, having lost HMS Endurance in the thick sea ice, far to the south in the Weddell Sea in 1915. If conditions allow we attempt a landing here.",11
"Falkland Is, South Georgia & Antarctica (19 Days)",30-Nov-17,18-Dec-17,Akademic Ioffe,One Ocean Expeditions ,Scotia Sea Crossing,"After several busy days our exploration of South Georgia is complete and our attention now turns south, towards Antarctica. It takes several days to cross the Scotia Sea in the comfort of our modern expedition ship. Large tabular icebergs announce our arrival in Antarctic waters. The dark cliffs of Elephant Island appear and it is this location that ‘bookends’ the Shackleton story for many. Here Shackleton and his men were camped for many months, having lost HMS Endurance in the thick sea ice, far to the south in the Weddell Sea in 1915. If conditions allow we attempt a landing here.",12
"Falkland Is, South Georgia & Antarctica (19 Days)",30-Nov-17,18-Dec-17,Akademic Ioffe,One Ocean Expeditions ,Scotia Sea Crossing,"After several busy days our exploration of South Georgia is complete and our attention now turns south, towards Antarctica. It takes several days to cross the Scotia Sea in the comfort of our modern expedition ship. Large tabular icebergs announce our arrival in Antarctic waters. The dark cliffs of Elephant Island appear and it is this location that ‘bookends’ the Shackleton story for many. Here Shackleton and his men were camped for many months, having lost HMS Endurance in the thick sea ice, far to the south in the Weddell Sea in 1915. If conditions allow we attempt a landing here.",13
"Falkland Is, South Georgia & Antarctica (19 Days)",30-Nov-17,18-Dec-17,Akademic Ioffe,One Ocean Expeditions ,South Shetland Islands & Antarctica,"Around 60 miles off the coast of the Antarctic mainland lies the South Shetland Island chain. Possible landing sites might include King George Island, Half Moon Island, Yankee Harbour or Hannah Point. Weather conditions permitting we sail the ship into the flooded volcanic caldera of Deception Island. After so much anticipation, we enter the icy waters of the Antarctic Peninsula in the vicinity of Mikkelson Harbour or Cierva Cove. Snow covered mountains soar from the dark waters. Along the shoreline in the bays and harbors of the peninsula live an incredible abundance of wildlife. We explore by Zodiac boat and ashore where a range of wonderful activities awaits. Locations we hope to visit include Wilhelmina Bay, Orne Harbour, Cuverville Island and the Errera Channel. Join the photographic guide and take close up photos of the penguins, or of the impossibly blue ice. Or enjoy a hike to the top of a snowy mountain saddle with one of our adventure guides. If the opportunity presents itself, visit a science base or old historic hut. Each, you have a range of great choices.",14
"Falkland Is, South Georgia & Antarctica (19 Days)",30-Nov-17,18-Dec-17,Akademic Ioffe,One Ocean Expeditions ,South Shetland Islands & Antarctica,"Around 60 miles off the coast of the Antarctic mainland lies the South Shetland Island chain. Possible landing sites might include King George Island, Half Moon Island, Yankee Harbour or Hannah Point. Weather conditions permitting we sail the ship into the flooded volcanic caldera of Deception Island. After so much anticipation, we enter the icy waters of the Antarctic Peninsula in the vicinity of Mikkelson Harbour or Cierva Cove. Snow covered mountains soar from the dark waters. Along the shoreline in the bays and harbors of the peninsula live an incredible abundance of wildlife. We explore by Zodiac boat and ashore where a range of wonderful activities awaits. Locations we hope to visit include Wilhelmina Bay, Orne Harbour, Cuverville Island and the Errera Channel. Join the photographic guide and take close up photos of the penguins, or of the impossibly blue ice. Or enjoy a hike to the top of a snowy mountain saddle with one of our adventure guides. If the opportunity presents itself, visit a science base or old historic hut. Each, you have a range of great choices.",15
"Falkland Is, South Georgia & Antarctica (19 Days)",30-Nov-17,18-Dec-17,Akademic Ioffe,One Ocean Expeditions ,South Shetland Islands & Antarctica,"Around 60 miles off the coast of the Antarctic mainland lies the South Shetland Island chain. Possible landing sites might include King George Island, Half Moon Island, Yankee Harbour or Hannah Point. Weather conditions permitting we sail the ship into the flooded volcanic caldera of Deception Island. After so much anticipation, we enter the icy waters of the Antarctic Peninsula in the vicinity of Mikkelson Harbour or Cierva Cove. Snow covered mountains soar from the dark waters. Along the shoreline in the bays and harbors of the peninsula live an incredible abundance of wildlife. We explore by Zodiac boat and ashore where a range of wonderful activities awaits. Locations we hope to visit include Wilhelmina Bay, Orne Harbour, Cuverville Island and the Errera Channel. Join the photographic guide and take close up photos of the penguins, or of the impossibly blue ice. Or enjoy a hike to the top of a snowy mountain saddle with one of our adventure guides. If the opportunity presents itself, visit a science base or old historic hut. Each, you have a range of great choices.",16
"Falkland Is, South Georgia & Antarctica (19 Days)",30-Nov-17,18-Dec-17,Akademic Ioffe,One Ocean Expeditions ,South Shetland Islands & Antarctica,"Around 60 miles off the coast of the Antarctic mainland lies the South Shetland Island chain. Possible landing sites might include King George Island, Half Moon Island, Yankee Harbour or Hannah Point. Weather conditions permitting we sail the ship into the flooded volcanic caldera of Deception Island. After so much anticipation, we enter the icy waters of the Antarctic Peninsula in the vicinity of Mikkelson Harbour or Cierva Cove. Snow covered mountains soar from the dark waters. Along the shoreline in the bays and harbors of the peninsula live an incredible abundance of wildlife. We explore by Zodiac boat and ashore where a range of wonderful activities awaits. Locations we hope to visit include Wilhelmina Bay, Orne Harbour, Cuverville Island and the Errera Channel. Join the photographic guide and take close up photos of the penguins, or of the impossibly blue ice. Or enjoy a hike to the top of a snowy mountain saddle with one of our adventure guides. If the opportunity presents itself, visit a science base or old historic hut. Each, you have a range of great choices.",17
"Falkland Is, South Georgia & Antarctica (19 Days)",30-Nov-17,18-Dec-17,Akademic Ioffe,One Ocean Expeditions ,Drake Passage,"After several busy days of exploration along the Antarctic Peninsula, it’s time to return to South America. The educational presentations continue and we enjoy an entertaining and memorable voyage recap by our Expedition Leader. If conditions allow we hope to make a rounding of the fabled landmark of Cape Horn.",18
"Falkland Is, South Georgia & Antarctica (19 Days)",30-Nov-17,18-Dec-17,Akademic Ioffe,One Ocean Expeditions ,Drake Passage,"After several busy days of exploration along the Antarctic Peninsula, it’s time to return to South America. The educational presentations continue and we enjoy an entertaining and memorable voyage recap by our Expedition Leader. If conditions allow we hope to make a rounding of the fabled landmark of Cape Horn.",19
"Falkland Is, South Georgia & Antarctica (19 Days)",30-Nov-17,18-Dec-17,Akademic Ioffe,One Ocean Expeditions ,Ushuaia; Disembarkation,"In the early morning, we arrive into Ushuaia. Guests will be transported to their hotels or to the airport for return flights home. *Note: on a 20-day voyage, you will spend an additional day along South Georgia.",20
Antarctica - Off the Beaten Track,6-Nov-17,18-Nov-17,Akademic Ioffe,One Ocean Expeditions ,Ushuaia; Embarkation Day,"We board the ship this afternoon in Ushuaia. Excitement is in the air as we cast off. Next stop, Antarctica, and the adventure of a lifetime!

This voyage has been designed for outdoor enthusiasts and adventure lovers. It also has great appeal to those who wish to experience Antarctica in springtime. The added bonus is you will enjoy several additional days of exploration compared to the 10-night voyages.",1
Antarctica - Off the Beaten Track,6-Nov-17,18-Nov-17,Akademic Ioffe,One Ocean Expeditions ,Drake Passage,The great pelagic seabirds are constant companions as we cross the Drake Passage. Photographing these magnificent birds from the deck of the ship takes patience and skill and our photography expert will show you the best techniques. Throughout the day our onboard experts educate us with a series of informative and entertaining presentations.,2
Antarctica - Off the Beaten Track,6-Nov-17,18-Nov-17,Akademic Ioffe,One Ocean Expeditions ,Drake Passage,The great pelagic seabirds are constant companions as we cross the Drake Passage. Photographing these magnificent birds from the deck of the ship takes patience and skill and our photography expert will show you the best techniques. Throughout the day our onboard experts educate us with a series of informative and entertaining presentations.,3
Antarctica - Off the Beaten Track,6-Nov-17,18-Nov-17,Akademic Ioffe,One Ocean Expeditions ,South Shetland Is & Antarctica,"We awaken today and the magnificent snowy peaks of Antarctica are laid out before us. Over the next week, our itinerary is intentionally flexible to account for early season ice conditions and to take advantage of optimal snow conditions. Our planned exploration starts in vicinity of Mikkelson Harbour and neighboring Cierva Cove – both beautiful locations and the perfect introduction to Antarctica.",4
Antarctica - Off the Beaten Track,6-Nov-17,18-Nov-17,Akademic Ioffe,One Ocean Expeditions ,South Shetland Is & Antarctica,"We awaken today and the magnificent snowy peaks of Antarctica are laid out before us. Over the next week, our itinerary is intentionally flexible to account for early season ice conditions and to take advantage of optimal snow conditions. Our planned exploration starts in vicinity of Mikkelson Harbour and neighboring Cierva Cove – both beautiful locations and the perfect introduction to Antarctica.",5
Antarctica - Off the Beaten Track,6-Nov-17,18-Nov-17,Akademic Ioffe,One Ocean Expeditions ,South Shetland Is & Antarctica,"We awaken today and the magnificent snowy peaks of Antarctica are laid out before us. Over the next week, our itinerary is intentionally flexible to account for early season ice conditions and to take advantage of optimal snow conditions. Our planned exploration starts in vicinity of Mikkelson Harbour and neighboring Cierva Cove – both beautiful locations and the perfect introduction to Antarctica.",6
Antarctica - Off the Beaten Track,6-Nov-17,18-Nov-17,Akademic Ioffe,One Ocean Expeditions ,South Shetland Is & Antarctica,"We awaken today and the magnificent snowy peaks of Antarctica are laid out before us. Over the next week, our itinerary is intentionally flexible to account for early season ice conditions and to take advantage of optimal snow conditions. Our planned exploration starts in vicinity of Mikkelson Harbour and neighboring Cierva Cove – both beautiful locations and the perfect introduction to Antarctica.",7
